"ID";"Cidade";"Bairro";"Endereço";"Latitude";"Longitude";"Data base";"Banheiros";"Vagas de garagem";"Área privativa";"EC";"PA";"Dist mar";"Localização";"Vl unt"
1;"João Pessoa";"Manaíra";"Avenida Maria Rosa";-7,107097;-34,83674;01/05/26;1;1;102;1;1;650;7620,48;4705,88
2;"João Pessoa";"Altiplano Cabo Branco";"Rua Desembargador Rivaldo Pereira";-7,130666;-34,831599;01/05/26;2;1;59;3;2;800;5032,2;7118,47
3;"João Pessoa";"Manaíra";"Rua São Gonçalo";-7,104875;-34,838604;01/05/26;3;1;106;1;1;800;7620,48;5660,28
4;"João Pessoa";"Altiplano Cabo Branco";"Rua Maria José Caetano da Silva";-7,137932;-34,832665;01/05/26;2;1;53;2;2;1500;5032,2;6547,17
5;"João Pessoa";"Manaíra";"Rua Vigolvino Florentino Costa";-7,102711;-34,841341;01/05/26;2;1;72;2;2;1200;7620,48;6236,11
6;"João Pessoa";"Tambaú";"Rua Sidney Clemente Dore";-7,115882;-34,830272;01/05/26;3;2;115;3;3;600;7865,29;9565,22
7;"João Pessoa";"Tambaú";"Avenida Infante Dom Henrique";-7,112255;-34,826553;01/05/26;5;4;298;2;2;450;7865,29;5033,56
8;"João Pessoa";"Manaíra";"Avenida Manoel Morais";-7,110745;-34,835639;01/05/26;2;1;77;2;1;1250;7620,48;4935,05
9;"João Pessoa";"Altiplano Cabo Branco";"Avenida João Cirilo da Silva";-7,126954;-34,82865;01/05/26;2;1;64;3;3;250;5032,2;10750
10;"João Pessoa";"Manaíra";"Rua Francisco Claudino Pereira";-7,103314;-34,842174;01/05/26;2;1;92;2;3;1450;7620,48;7391,3
11;"João Pessoa";"Altiplano Cabo Branco";"Rua Severino Ennes de Atayde";-7,135937;-34,831;01/05/26;3;1;80;2;1;1150;5032,2;5625
12;"João Pessoa";"Altiplano Cabo Branco";"Rua Iracema Guedes Lins";-7,129624;-34,830943;01/05/26;2;1;62;2;3;850;5032,2;7725,81
13;"João Pessoa";"Altiplano Cabo Branco";"Rua Josita Almeida";-7,135201;-34,82601;01/05/26;4;2;103;3;3;350;5032,2;11883,5
14;"João Pessoa";"Altiplano Cabo Branco";"Rua Ascendino Toscano de Brito";-7,144396;-34,826367;01/05/26;1;1;44;2;2;1050;5032,2;6363,64
15;"João Pessoa";"Manaíra";"Rua Vigolvino Florentino Costa";-7,10221;-34,841949;01/05/26;2;1;45;3;2;1200;7620,48;7222,22
16;"João Pessoa";"Altiplano Cabo Branco";"Rua Doutor Pedro Narciso Castanheira";-7,137855;-34,831666;01/05/26;2;1;54;2;2;1350;5032,2;6237,22
17;"João Pessoa";"Manaíra";"Avenida Sapé";-7,107966;-34,834783;01/05/26;4;3;125;3;3;550;7620,48;11600
18;"João Pessoa";"Manaíra";"Avenida Pombal";-7,099219;-34,837175;01/05/26;3;1;69;2;3;300;7620,48;9420,29
19;"João Pessoa";"Manaíra";"Avenida Umbuzeiro";-7,109453;-34,828681;01/05/26;1;1;71;3;3;400;7620,48;10773,24
20;"João Pessoa";"Manaíra";"Rua Antônio Monteiro Gomes de Oliveira";-7,101746;-34,842477;01/05/26;1;1;74;1;2;1300;7620,48;5000
21;"João Pessoa";"Manaíra";"Rua Escrivão Sebastião de Azevedo Bastos";-7,099848;-34,84266;01/05/26;2;2;75;2;3;550;7620,48;10693,33
22;"João Pessoa";"Manaíra";"Rua Maria Eunice Guimarães Fernandes";-7,098102;-34,841354;01/05/26;4;2;120;1;2;1000;7620,48;5416,66
23;"João Pessoa";"Altiplano Cabo Branco";"Rua Maria José Caetano da Silva";-7,138247;-34,83251;01/05/26;2;1;67;2;2;1400;5032,2;5522,39
24;"João Pessoa";"Altiplano Cabo Branco";"Avenida João Cirilo da Silva";-7,127569;-34,8286;01/05/26;3;2;110;3;3;250;5032,2;10000
25;"João Pessoa";"Manaíra";"Rua João Câncio";-7,100608;-34,837581;01/05/26;1;1;21;3;3;500;7620,48;15476,14
26;"João Pessoa";"Manaíra";"Rua Escrivão Sebastião de Azevedo Bastos";-7,099483;-34,837994;01/05/26;2;1;33;2;3;550;7620,48;10709,09
27;"João Pessoa";"Altiplano Cabo Branco";"Rua Rui Costa";-7,133471;-34,831672;01/05/26;1;1;36;3;3;1150;5032,2;12247,22
28;"João Pessoa";"Altiplano Cabo Branco";"Rua Severino Ennes de Atayde";-7,135937;-34,831;01/05/26;2;1;50;2;2;1050;5032,2;7290
29;"João Pessoa";"Manaíra";"Rua Doutor Severino Sílvio Guerra";-7,100531;-34,841692;01/05/26;3;2;82;2;3;950;7620,48;11817,07
